Family,Feed_mode_prim,Feed_mode_sec,Feed_mode_comments,TraitRecord_ID
Planorbidae,Scraper/grazer,Other (specify in comments),Consume mostly the thin film of algae that covers most submerged surfaces; also occasionally feed on dead plant and animal materials.,6654
Planorbidae,Scraper/grazer,,"Prefers consuming detritus, but will also eat periphyton and bacteria.",6281
Planorbidae,Scraper/grazer,Other (specify in comments),Consume mostly the thin film of algae that covers most submerged surfaces; also occasionally feed on dead plant and animal materials.,6653
Planorbidae,Scraper/grazer,Other (specify in comments),Consume mostly the thin film of algae that covers most submerged surfaces; also occasionally feed on dead plant and animal materials.,6656
Planorbidae,Scraper/grazer,,"Prefers consuming detritus, but will also eat periphyton and bacteria.",6282
Planorbidae,Scraper/grazer,Other (specify in comments),Consume mostly the thin film of algae that covers most submerged surfaces; also occasionally feed on dead plant and animal materials.,6655
Planorbidae,Scraper/grazer,,"Prefers consuming detritus, but will also eat periphyton and bacteria.",6245
Planorbidae,Scraper/grazer,Other (specify in comments),Consume mostly the thin film of algae that covers most submerged surfaces; also occasionally feed on dead plant and animal materials.,6644
Chironomidae,Predator,Collector-gatherer,"Engulfer and Piercer of Rotifera, Microcrustacea, Chironomidae",6940
Chironomidae,Predator,,Engulfer of Chironomidae,6930
Chironomidae,Predator,,Engulfers,6941
Chironomidae,Collector-gatherer,,,7106
Chironomidae,Collector-gatherer,Scraper/grazer,,6960
Chironomidae,Collector-gatherer,Scraper/grazer,Scraper?,6962
Chironomidae,Other (specify in comments),Shredder,"some mine in wood, others eat leaves",3117
Chironomidae,Scraper/grazer,Collector-gatherer,"Detrivore, chewer",6975
Chironomidae,Scraper/grazer,,large sand grains in gut,3103
Chironomidae,Predator,,"Engulfer of Protozoa, Cladocera, Ostracoda, Tardigrada, Hydracarina, Chironomidae",6931
Chironomidae,Predator,,Engulfer of black fly larvae,6977
Chironomidae,Predator,,"Feed on pupal Hydropsyche and Cheumatopsyche; egg, larvae, pupal of Simulium.",8315
Chironomidae,Predator,,feed on simulid larvae,10214
Chironomidae,Other (specify in comments),,miner in wood,2876
Chironomidae,Collector-gatherer,,,6978
Chironomidae,Collector-gatherer,,,5732
Chironomidae,Collector-gatherer,Shredder,"Few collector-filterer, Herbivore",7109
Chironomidae,Collector-gatherer,,,8137
Chironomidae,Collector-gatherer,Other (specify in comments),Detritivore,11292
Chironomidae,Collector-gatherer,Other (specify in comments),Detritivore,11293
Chironomidae,Collector-gatherer,,,7110
Chironomidae,Collector-gatherer,Collector-filterer,,7118
Chironomidae,Predator,,"Engulfer of Oligochaeta, Ostracoda, Chironomidae",6927
Chironomidae,Predator,,"Engulfer of Oligochaeta, Cladocera, Chironomidae",6928
Chironomidae,Predator,,"Engulfer and Piercer of Chironomidae, Trichoptera, Ephemeroptera",6942
Chironomidae,Collector-gatherer,,some instar 1 planktonic,6972
Chironomidae,Shredder,Collector-gatherer,"Herbivores, hewers",6979
Chironomidae,Scraper/grazer,,Algae-Nostoc parameliodides.,7865
Chironomidae,Predator,,"Engulfer of Protozoa, Microcrustacea, Chironomidae, Piercer of Oligochaeta",7111
Chironomidae,Collector-gatherer,,,7121
Chironomidae,Collector-gatherer,,,7122
Chironomidae,Collector-gatherer,Scraper/grazer,Scraper?,6963
Chironomidae,Collector-gatherer,Collector-filterer,Scraper?,7123
Chironomidae,Collector-gatherer,,Gatherer?,6980
Chironomidae,Predator,,Engulfer,6937
Chironomidae,Collector-gatherer,,,7124
Chironomidae,Shredder,Collector-filterer,"Collector-gatherer, Herbivore, Chewer of Macroalgae",7125
Chironomidae,Collector-gatherer,Parasite,"Commensal, Parasite on lotic insect",6981
Chironomidae,Collector-gatherer,Scraper/grazer,Predator/Engulfer of chironomid eggs and larvae,6982
Chironomidae,Shredder,Collector-filterer,"Collector-gatherer, Chewer, Herbivore,",7127
Chironomidae,Collector-gatherer,Other (specify in comments),Detritivore,11294
Chironomidae,Collector-gatherer,,,7128
Chironomidae,Predator,,Engulfer,6943
Chironomidae,Collector-gatherer,Scraper/grazer,,6986
Chironomidae,Collector-gatherer,Scraper/grazer,Scraper?,7129
Chironomidae,Collector-gatherer,Scraper/grazer,Scraper?,6988
Chironomidae,Predator,,,3107
Chironomidae,Scraper/grazer,Collector-gatherer,,6989
Chironomidae,Collector-gatherer,,,7130
Chironomidae,Predator,,Engulfer,6946
Chironomidae,Collector-gatherer,,,6990
Chironomidae,Predator,,"Engulfer and Piercer of Oligochaeta, Cladocera, Ostracoda",6947
Chironomidae,Predator,,Engulfer,6948
Chironomidae,Collector-gatherer,,,7132
Chironomidae,Collector-gatherer,,Gatherer?,6991
Chironomidae,Collector-gatherer,,,6992
Chironomidae,Predator,,"Engulfer of Protozoa, Cladocera, Ostracoda, Crustacea, Ceratopogonidae, Chironomidae",6934
Chironomidae,Collector-gatherer,Predator,Engulfer,6993
Chironomidae,Collector-gatherer,,,7134
Chironomidae,Collector-gatherer,,,7181
